ReportDate,year,month,case0to9,case10to19,case20to29,case30to39,case40to49,case50to59,case60to69,case70to79,case80plus,caseAgeUnknown
2020-03-04,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-05,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-06,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-07,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-08,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-09,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-10,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-11,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-12,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-13,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-14,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-15,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-16,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-17,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-18,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-19,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-20,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-21,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-22,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-23,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-24,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-25,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-26,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-27,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-28,2020,3,0,0,0,0,0,0,0,0,0,0
2020-03-29,2020,3,4,21,165,203,241,243,191,117,54,0
2020-03-30,2020,3,5,27,188,247,262,274,219,139,53,0
2020-03-31,2020,3,6,32,215,290,304,335,260,157,61,0
2020-04-01,2020,4,6,39,252,345,372,396,309,187,79,0
2020-04-02,2020,4,9,46,286,410,437,471,357,217,98,0
2020-04-03,2020,4,9,55,335,485,509,552,423,266,124,0
2020-04-04,2020,4,13,65,379,557,575,625,473,299,139,0
2020-04-05,2020,4,16,69,422,638,666,736,546,354,162,0
2020-04-06,2020,4,16,76,469,718,737,825,597,407,200,0
2020-04-07,2020,4,21,82,505,773,795,891,643,445,216,0
2020-04-08,2020,4,27,109,625,968,1015,1135,833,550,267,0
2020-04-09,2020,4,33,127,701,1076,1145,1282,913,600,308,0
2020-04-10,2020,4,36,146,772,1205,1281,1421,1051,685,371,0
2020-04-11,2020,4,45,162,855,1317,1413,1565,1141,757,439,0
2020-04-12,2020,4,52,172,906,1390,1504,1675,1212,816,498,0
2020-04-13,2020,4,63,190,970,1511,1637,1801,1317,877,570,0
2020-04-14,2020,4,70,199,1030,1603,1740,1902,1389,935,604,0
2020-04-15,2020,4,74,204,1089,1670,1808,2005,1474,1010,698,0
2020-04-16,2020,4,86,231,1162,1784,1951,2138,1602,1065,765,0
2020-04-17,2020,4,86,242,1227,1882,2088,2287,1710,1171,879,0
2020-04-18,2020,4,89,254,1311,2010,2215,2399,1831,1253,946,0
2020-04-19,2020,4,93,277,1391,2100,2312,2492,1898,1286,981,0
2020-04-20,2020,4,108,300,1488,2245,2442,2632,2015,1385,1069,0
2020-04-21,2020,4,118,318,1543,2329,2539,2712,2083,1432,1119,0
2020-04-22,2020,4,132,337,1595,2415,2611,2805,2156,1512,1212,0
2020-04-23,2020,4,152,369,1708,2604,2786,2960,2269,1593,1296,0
2020-04-24,2020,4,164,395,1833,2757,2931,3094,2383,1680,1379,0
2020-04-25,2020,4,189,441,1982,2963,3155,3288,2548,1766,1434,0
2020-04-26,2020,4,212,463,2097,3109,3270,3414,2651,1837,1528,0
2020-04-27,2020,4,228,490,2217,3264,3436,3556,2758,1916,1622,0
2020-04-28,2020,4,246,512,2293,3367,3555,3675,2835,1973,1657,0
2020-04-29,2020,4,256,539,2393,3511,3696,3792,2927,2035,1700,0
2020-04-30,2020,4,294,573,2525,3684,3871,3939,3010,2083,1763,0
2020-05-01,2020,5,330,652,2742,4025,4226,4242,3215,2181,1859,0
2020-05-02,2020,5,348,701,2868,4207,4377,4400,3350,2270,1952,0
2020-05-03,2020,5,369,743,3043,4388,4534,4532,3459,2338,2056,0
2020-05-04,2020,5,385,769,3184,4550,4696,4687,3569,2424,2144,0
2020-05-05,2020,5,398,791,3287,4687,4841,4820,3636,2465,2192,0
2020-05-06,2020,5,416,834,3474,4894,5031,4996,3734,2524,2260,0
2020-05-07,2020,5,435,898,3681,5161,5269,5161,3860,2592,2317,0
2020-05-08,2020,5,486,969,3848,5376,5468,5311,3972,2666,2389,0
2020-05-09,2020,5,516,1015,3993,5575,5675,5464,4077,2738,2481,0
2020-05-10,2020,5,546,1078,4160,5777,5840,5609,4189,2801,2587,0
2020-05-11,2020,5,570,1131,4299,5952,5989,5707,4255,2840,2630,0
2020-05-12,2020,5,608,1183,4399,6084,6119,5791,4318,2884,2675,0
2020-05-13,2020,5,635,1238,4517,6236,6282,5898,4394,2912,2700,0
2020-05-14,2020,5,671,1299,4685,6475,6440,6033,4487,3004,2809,0
2020-05-15,2020,5,716,1383,4849,6699,6635,6194,4577,3076,2857,0
