ReportDate,year,genMale,genFemale,genUnkn
2020-03-04,2020,0,0,0
2020-03-05,2020,0,0,0
2020-03-06,2020,0,0,0
2020-03-07,2020,0,0,0
2020-03-08,2020,0,0,0
2020-03-09,2020,0,0,0
2020-03-10,2020,0,0,0
2020-03-11,2020,0,0,0
2020-03-12,2020,6,6,0
2020-03-13,2020,9,6,0
2020-03-14,2020,16,10,0
2020-03-15,2020,0,0,0
2020-03-16,2020,21,16,0
2020-03-17,2020,0,0,0
2020-03-18,2020,49,36,0
2020-03-19,2020,59,48,0
2020-03-20,2020,80,69,0
2020-03-21,2020,84,106,0
2020-03-22,2020,129,116,0
2020-03-23,2020,149,140,0
2020-03-24,2020,178,171,0
2020-03-25,2020,212,211,0
2020-03-26,2020,298,282,0
2020-03-27,2020,392,382,0
2020-03-28,2020,487,505,0
2020-03-29,2020,605,634,0
2020-03-30,2020,697,716,0
2020-03-31,2020,804,856,0
2020-04-01,2020,969,1016,0
2020-04-02,2020,1137,1194,0
2020-04-03,2020,1323,1435,0
2020-04-04,2020,1485,1640,0
2020-04-05,2020,1694,1915,0
2020-04-06,2020,1890,2155,0
2020-04-07,2020,2042,2329,0
2020-04-08,2020,2574,2955,0
2020-04-09,2020,2865,3320,0
2020-04-10,2020,3215,3753,0
2020-04-11,2020,3554,4140,0
2020-04-12,2020,3787,4438,0
2020-04-13,2020,4105,4831,0
2020-04-14,2020,4340,5132,0
2020-04-15,2020,4593,5439,0
2020-04-16,2020,4967,5817,0
2020-04-17,2020,5323,6249,0
2020-04-18,2020,5656,6652,0
2020-04-19,2020,5907,6923,0
2020-04-20,2020,6310,7374,0
2020-04-21,2020,6570,7623,0
2020-04-22,2020,6821,7954,0
2020-04-23,2020,7290,8447,0
2020-04-24,2020,7742,8874,0
2020-04-25,2020,8268,9498,0
2020-04-26,2020,8618,9963,0
2020-04-27,2020,9027,10460,0
2020-04-28,2020,9363,10750,0
2020-04-29,2020,9719,11130,0
2020-04-30,2020,10147,11595,0
2020-05-01,2020,10972,12500,0
2020-05-02,2020,11468,13005,0
2020-05-03,2020,11969,13493,0
2020-05-04,2020,12472,13936,0
2020-05-05,2020,12801,14316,0
2020-05-06,2020,13315,14848,0
2020-05-07,2020,13902,15472,0
2020-05-08,2020,14447,16038,0
2020-05-09,2020,14974,16560,0
2020-05-10,2020,15486,17101,0
2020-05-11,2020,15868,17505,0
2020-05-12,2020,16209,17852,0
2020-05-13,2020,16600,18212,0
2020-05-14,2020,17123,18780,0
2020-05-15,2020,17674,19312,0
2020-05-16,2020,18168,19800,0
2020-05-17,2020,18593,20211,0
2020-05-18,2020,19056,20706,0
2020-05-19,2020,19860,21686,0
2020-05-20,2020,20225,22098,0
2020-05-21,2020,20843,22688,0
2020-05-22,2020,21283,23141,0
2020-05-23,2020,21818,23677,0
2020-05-24,2020,22238,24075,0
2020-05-25,2020,22604,24548,0
2020-05-26,2020,22871,24816,0
2020-05-27,2020,23217,25206,0
2020-05-28,2020,23860,25849,0
2020-05-29,2020,24461,26527,0
2020-05-30,2020,24924,27091,0
2020-05-31,2020,25272,27506,0
2020-06-01,2020,25522,27805,0
2020-06-02,2020,25950,28225,0
2020-06-03,2020,26328,28654,0
2020-06-04,2020,26762,29096,0
2020-06-05,2020,27197,29573,0
2020-06-06,2020,27533,29949,0
2020-06-07,2020,27758,30215,0
2020-06-08,2020,27969,30435,0
2020-06-09,2020,28237,30667,0
2020-06-10,2020,28502,30963,0
2020-06-11,2020,28875,31322,0
2020-06-12,2020,29082,31531,0
2020-06-13,2020,29435,31870,0
2020-06-14,2020,29619,32082,0
2020-06-15,2020,29791,32241,0
2020-06-16,2020,29994,32415,0
2020-06-17,2020,30254,32715,0
2020-06-18,2020,30380,32849,0
