ReportDate,year,month,TotalCases,TotalTests,PosTestPercent,NegativeTests,total_hospitalized,genMale,genFemale,genUnkn,deaths
2020-03-04,2020,3,0,0.0,0.0,0.0,0.0,0,0,0,0.0
2020-03-05,2020,3,3,0.0,0.0,0.0,0.0,0,0,0,0.0
2020-03-06,2020,3,3,0.0,0.0,0.0,0.0,0,0,0,0.0
2020-03-07,2020,3,3,0.0,0.0,0.0,0.0,0,0,0,0.0
2020-03-08,2020,3,5,0.0,0.0,0.0,0.0,0,0,0,0.0
2020-03-09,2020,3,6,0.0,0.0,0.0,0.0,0,0,0,0.0
2020-03-10,2020,3,9,1.0,11.3,0.0,0.0,0,0,0,0.0
2020-03-11,2020,3,12,8.0,12.4,0.0,0.0,0,0,0,0.0
2020-03-12,2020,3,12,21.0,13.72,0.0,0.0,6,6,0,0.0
2020-03-13,2020,3,15,44.0,14.54,0.0,2.0,9,6,0,0.0
2020-03-14,2020,3,26,259.0,15.54,0.0,3.0,16,10,0,0.0
2020-03-15,2020,3,31,397.0,16.43,0.0,0.0,0,0,0,0.0
2020-03-16,2020,3,37,482.0,17.09,0.0,4.0,21,16,0,0.0
2020-03-17,2020,3,57,808.0,18.3,0.0,0.0,0,0,0,0.0
2020-03-18,2020,3,85,1195.0,19.16,0.0,14.0,49,36,0,1.0
2020-03-19,2020,3,107,1625.0,19.65,0.0,14.0,59,48,0,1.0
2020-03-20,2020,3,149,2645.0,20.21,0.0,15.0,80,69,0,2.0
2020-03-21,2020,3,190,3715.0,20.99,0.0,16.0,84,106,0,2.0
2020-03-22,2020,3,244,4780.0,21.91,0.0,26.0,129,116,0,3.0
2020-03-23,2020,3,288,5638.0,22.82,0.0,34.0,149,140,0,3.0
2020-03-24,2020,3,349,6593.0,23.05,0.0,50.0,178,171,0,3.0
2020-03-25,2020,3,423,7713.0,23.8,0.0,67.0,212,211,0,4.0
2020-03-26,2020,3,580,11054.0,25.11,0.0,132.0,298,282,0,4.0
2020-03-27,2020,3,774,12874.0,26.23,9988.0,173.0,392,382,0,5.0
2020-03-28,2020,3,992,15949.0,26.6,11516.0,226.0,487,505,0,5.0
2020-03-29,2020,3,1239,17257.0,26.88,12354.0,277.0,605,634,0,10.0
2020-03-30,2020,3,1413,18842.0,26.57,13316.0,353.0,697,716,0,15.0
2020-03-31,2020,3,1660,20896.0,26.83,14868.0,429.0,804,856,0,18.0
2020-04-01,2020,4,1985,23841.0,26.52,17233.0,522.0,969,1016,0,31.0
2020-04-02,2020,4,2331,26377.0,25.6,18890.0,582.0,1137,1194,0,36.0
2020-04-03,2020,4,2758,29413.0,25.44,20932.0,664.0,1323,1435,0,42.0
2020-04-04,2020,4,3125,32042.0,24.9,22485.0,821.0,1485,1640,0,53.0
2020-04-05,2020,4,3609,35443.0,24.78,24728.0,936.0,1694,1915,0,67.0
2020-04-06,2020,4,4045,38076.0,24.75,25572.0,1059.0,1890,2155,0,91.0
2020-04-07,2020,4,4371,39480.0,24.59,27256.0,1106.0,2042,2329,0,103.0
2020-04-08,2020,4,5529,47416.0,24.32,32933.0,1210.0,2574,2955,0,124.0
2020-04-09,2020,4,6185,50571.0,24.7,35344.0,1348.0,2865,3320,0,138.0
2020-04-10,2020,4,6968,54495.0,24.2,37480.0,1413.0,3215,3753,0,171.0
2020-04-11,2020,4,7694,58127.0,24.44,39544.0,1709.0,3554,4140,0,206.0
