ReportDate,year,deathGenMale,deathGenFemale,deathGenUnkn
2020-03-04,2020,0.0,0.0,0
2020-03-05,2020,0.0,0.0,0
2020-03-06,2020,0.0,0.0,0
2020-03-07,2020,0.0,0.0,0
2020-03-08,2020,0.0,0.0,0
2020-03-09,2020,0.0,0.0,0
2020-03-10,2020,0.0,0.0,0
2020-03-11,2020,0.0,0.0,0
2020-03-12,2020,0.0,0.0,0
2020-03-13,2020,0.0,0.0,0
2020-03-14,2020,0.0,0.0,0
2020-03-15,2020,0.0,0.0,0
2020-03-16,2020,0.0,0.0,0
2020-03-17,2020,0.0,0.0,0
2020-03-18,2020,0.0,0.0,0
2020-03-19,2020,0.0,0.0,0
2020-03-20,2020,0.0,0.0,0
2020-03-21,2020,0.0,0.0,0
2020-03-22,2020,0.0,0.0,0
2020-03-23,2020,0.0,0.0,0
2020-03-24,2020,0.0,0.0,0
2020-03-25,2020,0.0,0.0,0
2020-03-26,2020,0.0,0.0,0
2020-03-27,2020,0.0,0.0,0
2020-03-28,2020,0.0,0.0,0
2020-03-29,2020,0.0,0.0,0
2020-03-30,2020,0.0,0.0,0
2020-03-31,2020,0.0,0.0,0
2020-04-01,2020,0.0,0.0,0
2020-04-02,2020,0.0,0.0,0
2020-04-03,2020,0.0,0.0,0
2020-04-04,2020,0.0,0.0,0
2020-04-05,2020,0.0,0.0,0
2020-04-06,2020,0.0,0.0,0
2020-04-07,2020,0.0,0.0,0
2020-04-08,2020,78.0,46.0,0
2020-04-09,2020,85.0,53.0,0
2020-04-10,2020,102.0,69.0,0
2020-04-11,2020,121.0,85.0,0
2020-04-12,2020,136.0,99.0,0
2020-04-13,2020,145.0,117.0,0
2020-04-14,2020,165.0,137.0,0
2020-04-15,2020,185.0,164.0,0
2020-04-16,2020,205.0,187.0,0
2020-04-17,2020,227.0,198.0,0
2020-04-18,2020,244.0,218.0,1
2020-04-19,2020,261.0,224.0,1
2020-04-20,2020,274.0,242.0,0
2020-04-21,2020,314.0,270.0,0
2020-04-22,2020,339.0,292.0,0
2020-04-23,2020,360.0,320.0,0
2020-04-24,2020,373.0,350.0,0
2020-04-25,2020,412.0,385.0,0
2020-04-26,2020,427.0,400.0,0
2020-04-27,2020,446.0,412.0,0
2020-04-28,2020,480.0,449.0,0
2020-04-29,2020,502.0,483.0,0
2020-04-30,2020,538.0,509.0,0
2020-05-01,2020,567.0,531.0,0
2020-05-02,2020,602.0,554.0,0
2020-05-03,2020,616.0,566.0,0
2020-05-04,2020,635.0,581.0,0
2020-05-05,2020,671.0,619.0,0
2020-05-06,2020,690.0,648.0,0
2020-05-07,2020,722.0,679.0,0
2020-05-08,2020,747.0,706.0,0
2020-05-09,2020,771.0,739.0,0
2020-05-10,2020,790.0,748.0,0
2020-05-11,2020,806.0,767.0,0
2020-05-12,2020,838.0,805.0,0
2020-05-13,2020,856.0,838.0,0
2020-05-14,2020,877.0,871.0,0
2020-05-15,2020,902.0,890.0,0
2020-05-16,2020,927.0,915.0,0
2020-05-17,2020,945.0,931.0,0
2020-05-18,2020,963.0,940.0,0
2020-05-19,2020,996.0,967.0,0
2020-05-20,2020,1017.0,987.0,0
2020-05-21,2020,1037.0,1008.0,0
2020-05-22,2020,1054.0,1038.0,0
2020-05-23,2020,1074.0,1056.0,0
2020-05-24,2020,1094.0,1068.0,0
2020-05-25,2020,1110.0,1077.0,0
2020-05-26,2020,1126.0,1091.0,0
2020-05-27,2020,1149.0,1121.0,0
2020-05-28,2020,1170.0,1137.0,0
2020-05-29,2020,1192.0,1156.0,0
2020-05-30,2020,1214.0,1176.0,0
2020-05-31,2020,1227.0,1184.0,0
2020-06-01,2020,1238.0,1193.0,0
2020-06-02,2020,1255.0,1219.0,0
2020-06-03,2020,1278.0,1241.0,0
2020-06-04,2020,1293.0,1253.0,0
2020-06-05,2020,1314.0,1266.0,0
2020-06-06,2020,1332.0,1284.0,0
2020-06-07,2020,1337.0,1288.0,0
2020-06-08,2020,1353.0,1300.0,0
2020-06-09,2020,1374.0,1312.0,0
2020-06-10,2020,1390.0,1329.0,0
2020-06-11,2020,1408.0,1342.0,0
2020-06-12,2020,1413.0,1360.0,0
