deathAfrAmer,deathWhite,deathHispanic,deathAsian
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5,14,0,0
0,0,0,0
55,39,0,6
61,45,0,6
77,58,0,6
91,72,0,7
104,83,0,8
120,93,0,10
0,0,0,0
139,109,13,10
153,126,15,11
166,137,17,13
183,148,20,15
196,159,21,15
207,181,26,22
218,201,32,21
289,234,69,21
289,258,72,21
289,275,40,25
301,296,44,29
305,301,46,30
353,328,56,33
365,362,58,36
404,390,64,36
431,420,67,37
436,436,69,38
482,468,70,39
500,486,78,39
503,503,81,41
521,537,83,44
542,562,91,48
567,580,96,48
595,598,101,48
611,622,107,49
631,637,109,51
638,645,114,52
656,681,124,56
691,704,133,58
708,731,137,60
736,746,142,61
760,762,150,65
777,779,154,67
792,785,156,68
815,817,160,69
839,837,163,71
852,855,176,74
874,870,181,80
891,886,187,81
899,898,191,81
909,913,194,83
921,924,199,83
941,944,204,85
952,960,208,88
972,982,215,89
986,1003,222,92
995,1016,226,93
1007,1021,229,94
1019,1039,234,96
1043,1057,238,98
1061,1071,243,99
1077,1082,251,99
1092,1101,256,101
1100,1109,255,101
1104,1114,258,101
1115,1140,261,101
1123,1154,269,103
1133,1164,273,104
1140,1176,284,104
1148,1184,290,106
1154,1192,295,107
1157,1196,297,109
1162,1202,301,109
1176,1214,303,110
1183,1232,304,110
1188,1240,307,109
1195,1250,311,110
1196,1254,315,110
1199,1262,318,110
1204,1268,320,114
1215,1266,324,115
1224,1269,328,116
1229,1278,331,116
1233,1285,335,118
1238,1286,336,119
1241,1289,338,119
1242,1295,340,120
1246,1310,340,120
1246,1316,342,120
1251,1321,344,121
1258,1324,346,121
1258,1327,347,121
1263,1329,350,122
1266,1335,351,123
1270,1344,356,122
1276,1348,355,123
1286,1352,358,123
1289,1355,359,123
1295,1357,361,123
1298,1357,363,124
1301,1357,366,124
1305,1363,368,124
1308,1365,370,124
1310,1367,372,124
1318,1372,375,124
